Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2017,Jul-Dec 2017,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Common Tern",-,-,-,-,Animal,1,1,0,0,-
2017,Jul-Dec 2017,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Swift tern",-,-,-,-,Animal,2,1,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,11,-,-,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,59,Animal,43,0,0,41,-
2017,Jul-Dec 2017,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Blue crane",-,-,-,-,Animal,1,0,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Egyptian Goose",-,-,-,-,Animal,8,0,0,7,-
2017,Jul-Dec 2017,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Red-crowned Crane",-,-,-,-,Animal,3,1,0,3,-
2017,Jul-Dec 2017,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Sacred Ibis",-,-,-,-,Animal,35,0,0,35,-
2017,Jul-Dec 2017,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Yellow-billed Duck",-,-,-,-,Animal,1,0,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Mpumalanga","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"Mpumalanga","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"House Sparrow",-,-,-,-,Animal,3,0,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Mpumalanga","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Southern Masked-Weaver",-,-,-,-,Animal,2,0,0,0,-
2017,Jul-Dec 2017,Africa,South Africa,"North West Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"North West Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,62,Animal,5,0,0,5,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,33,-,-,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,1218,Animal,327,189,0,307,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"African rock pigeon",-,-,-,-,Animal,2,2,0,0,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Black-headed Heron",-,-,-,18,Animal,1,0,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Blue crane",-,-,-,17,Animal,8,0,0,4,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Common Guineafowl",-,-,-,100,Animal,45,0,0,44,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Common Tern",-,-,-,-,Animal,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Egyptian Goose",-,-,-,-,Animal,1,0,0,1,-
2017,Jul-Dec 2017,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"House Sparrow",-,-,-,-,Animal,1,0,0,1,-
