Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Measuring units,New outbreaks,Susceptible,Cases,Killed and disposed of,Deaths,Latitude,Longitude,Year
Jul-Dec 2017,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,11.0,65.6,9.6,0.2,17.0,-25.9363439,28.0813105,2017.0
Jul-Dec 2017,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,3.0,59.0,43.0,0.0,41.0,-25.9363439,28.0813105,2017.0
Jul-Dec 2017,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Blue crane,Animal,3.0,187.8,1.0,0.0,1.0,-25.9363439,28.0813105,2017.0
Jul-Dec 2017,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Egyptian Goose,Animal,3.0,54.8,8.0,0.0,7.0,-25.9363439,28.0813105,2017.0
Jul-Dec 2017,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Red-crowned Crane,Animal,3.0,202.8,3.0,1.0,3.0,-25.9363439,28.0813105,2017.0
Jul-Dec 2017,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Sacred Ibis,Animal,3.0,88.4,35.0,0.0,35.0,-25.9363439,28.0813105,2017.0
Jul-Dec 2017,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Yellow-billed Duck,Animal,3.0,187.8,1.0,0.0,1.0,-25.9363439,28.0813105,2017.0
Jul-Dec 2017,Africa,South Africa,Mpumalanga,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,84.0,1.8,0.2,2.2,-26.276849,30.1500153,2017.0
Jul-Dec 2017,Africa,South Africa,Mpumalanga,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,House Sparrow,Animal,3.0,187.8,3.0,0.0,1.0,-26.276849,30.1500153,2017.0
Jul-Dec 2017,Africa,South Africa,Mpumalanga,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Southern Masked-Weaver,Animal,3.0,187.8,2.0,0.0,0.0,-26.276849,30.1500153,2017.0
Jul-Dec 2017,Africa,South Africa,North West Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,67.8,13.0,0.0,11.6,-26.1347819,25.6546729,2017.0
Jul-Dec 2017,Africa,South Africa,North West Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,3.0,62.0,5.0,0.0,5.0,-26.1347819,25.6546729,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,33.0,280.6,2.8,0.0,2.2,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,22.0,1218.0,327.0,189.0,307.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,African rock pigeon,Animal,18.4,45.8,2.0,2.0,0.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Black-headed Heron,Animal,18.4,18.0,1.0,0.0,1.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Blue crane,Animal,18.4,17.0,8.0,0.0,4.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Common Guineafowl,Animal,21.0,100.0,45.0,0.0,44.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Common Tern,Animal,18.4,269.6,3.6,0.2,10.4,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Egyptian Goose,Animal,18.4,45.8,1.0,0.0,1.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,House Sparrow,Animal,18.4,45.8,1.0,0.0,1.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Jackal Buzzard,Animal,18.4,269.6,3.6,0.2,10.4,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Jackass Penguin,Animal,18.4,269.6,3.6,0.2,10.4,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Laughing Dove,Animal,18.4,50.0,4.0,0.0,4.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Peregrin falcon,Animal,18.4,45.8,2.0,0.0,2.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Pied crow,Animal,18.4,56.4,6.0,0.0,6.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Sacred Ibis,Animal,22.0,45.0,2.0,0.0,1.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Spotted eagle-owl,Animal,18.4,45.8,1.0,0.0,1.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Spur-winged Goose,Animal,18.4,45.8,1.0,1.0,0.0,-33.546977,20.72753,2017.0
Jul-Dec 2017,Africa,South Africa,Western Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Swift tern,Animal,18.4,56.4,5.0,0.0,5.0,-33.546977,20.72753,2017.0
Jan-Jun 2018,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,5.0,100.0,1.8,0.4,1.4,-32.2171831,26.6386401,2018.0
Jan-Jun 2018,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,2.2,100.0,1.8,0.4,1.4,-32.2171831,26.6386401,2018.0
Jan-Jun 2018,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,African black oystercatcher,Animal,2.2,33.6,1.0,0.0,1.0,-32.2171831,26.6386401,2018.0
